Entry,Date,Author
"soner yalçın'ın abdullah çatlı'yı anlattığı ""reis"" isimli kitabında yer verdiği kod adı ""asena"" olan eski içişleri bakanımız...kitapta bahçelievler katliamının azmettiricisi olarak ankara'da aranmaya başlanan abdullah çatlı'nın istanbul'a yerleşmesinden sonraki bölümde meral akşener'in ismi geçmektedir.""abdullah çatlı, istanbul yaşamında iki ülkücü arkadaşının evlenmesine de vesile oldu. mhp izmit il başkanı nihat güner, istanbul üniversitesi edebiyat fakültesi tarih bölümü'nde okuyan kız kardeşi meral'i ülkücü arkadaşlarına emanet etmişti. ülkücü hareket içinde o yıllarda fazla kız öğrenci yoktu. ülkücüler bu nedenle meral'i ""maskot"" gibi yanlarında taşırlardı. meral de doğrusu bu ya, erkek gibi kızdı. kod adı ""asena"" idi. ülküdaşlarıyla kahveye bile gidiyordu. öyle ya solcu kızlar gider de ülkücü kızlar gitmez mi?meral güner ileride evleneceği boğaziçi üniversitesi mühendislik fakültesi makine bölümü öğrencisi tuncer akşener'i istanbul beyazıt'ta çaycılık yapan mustafa volkan'ın kahvesinde işte bu vesileyle görüp aşık oldu. meral’i, tuncer akşener'le tanıştırmak da abdullah çatlı'ya kısmet oldu. aradan yıllar geçti, meral ""akşener"" soyadını aldıktan sonra mustafa volkan'ın kahvesini hiç unutmadı. içişleri bakanlığı koltuğuna oturduktan sonra, çaycı mustafa volkan'ın avukat olmuş oğlu fatih volkan'ı kendisine avukat tuttu (yn).""  ",04.01.2011 01:46,sly1900
"oyumu guvenerek, inanarak, dogru yere veriyorum dedirten politikaci gorunumlu, entelektuel, bilgili, gorgulu, akilli, zeki, cok zeki kadin..kadin kelimesinin en cok yakistigi kadin..  ",20.05.2011 12:33,hangimizcaylakdegilizki
"türkiye'nin yakın döneminin en ilginç (ve önemli) siyasi figürlerinden biridir. dyp çatısı altında tansu çiller hükümetinde yer aldığı dönem olan 96-97'de, sert, kaba saba ve militarist bir ataerkil söylemi meclisteki birçok erkekten daha fazla sahiplenen üstelik neredeyse derin devletin sözcülüğünü yapan birisiydi. ancak  ne olduysa oldu, mhp milletvekili olduktan sonra -muhtemelen mhp'nin 90'ların sonlarından itibaren çizgisinin değişmeye başlamasının da etkisiyle- meral akşener'in üslubu ve hatta kullandığı söylem epeyi değişti. kullandığı söylemi görece daha entellektüel bir çizgiye çekti ve bu süreçte erkek fatma üslubundan uzaklaşmaya başladı. bu süreçte en son meclis başkanvekilliği de yaptı. en son dün gece 20 mayıs 2011'de cnn turk'te taha akyol'un eğrisi doğrusu programında hem entellektüel, hem de gayet feminist bir duruş sergiledi. ilk dönemiyle karşılaştırıldığında arada uçurum vardır.  ",21.05.2011 12:22 ~ 12:23,hayalettin
"mahut süreçlerdeki dik duruşu, cesareti hafızalardadır. mhp'de kaht-ı rical yaşandığı bir dönemde bir yıldız gibi parlamaktadır ve akşener'e genel başkanlık da hepsinden çok yakışır.  ",21.05.2011 12:28,madas
24. dönem mhp istanbul milletvekili olmuştur.  ,13.06.2011 18:30,klikup
çiller'in kopyası olduğundan sevemediğim çok itici duran şahsiyettir. zamanında çiller'le etle tırnak gibiydi. hani anasına bak kızını al derler ya. siyasi arenadaki annesi çiller'i gördükten sonra bu sözün ne kadar doğru olduğunu ispatlıyordu kendisi. ne kadar mhp'ye geçtikten sonra değiştiğini iddia etse de ısınamadım kendisine. bir diğer çizgisini değiştirdiğini iddia eden şahsiyet için (bkz: rte)  ,15.06.2011 15:48,ucmus yazar
"siyasi hayatının altın dönemine girmiş olduğuna inandığım mhp'nin ağır topudur. zaten kaset skandallarından sonra oktay vural ve akşener'den başka mhp'de ağır top kalmadı. partilerin sadece vitrinde görünsün diye koyduğu bayanlardan kesinlikle değil. tecrübesi tartışılmaz bir isim. konuşmasında da son yıllarda adeta bir efsun seziyorum, insanın dinledikçe dinleyesi geliyor. bence yönetimi artık iyice yıpranmış olan ve agresif oynaması gereken mhp'nin yeni genel başkanı bu bayan olmalı.  ",24.08.2011 13:01 ~ 17:23,bledathehun
(bkz: meral akşener'in mhp genel başkanı olması)  ,26.08.2011 22:59,bledathehun
gge'yi sonuna kadar hak ettiren şahsiyet.  ,06.10.2011 17:59,balikci filozof
bir dönem abdullah çatlı'nın kız arkadaşı olduğu söylenir.  ,27.09.2013 14:57,ed gein jr
hac dönüşü örtünmeyi düşünmediğini açıklamıştır.  ,25.10.2013 17:35,asosyal sosyolog
"beni 2001 yılında akp nin kurucuları arasında yer almaya davet eden kişidir kendisi. akp nin kuruluş aşamasında kendinin de vitrinde kullanılacaklar arasında olduğunu, hiç bir önemli gelişmeden haberdar edilmediğini fark edince, rotasını baba ocağı, ana kucağının ardından, kürkçü dükkanına döndürmüştür. kötü bir insan değildir, ama neylersiniz klasik sağ siyasetçidir, budur ve bu kadardır...  ",25.10.2013 17:44 ~ 17:45,dunyanin butun sabahlari
"görgüden nasibini almamış insanların mecliste at koşturduğunun tekrar tekrar kanıtıdır. ""ara vermezsek bayılacağım valla!"" ""bıktım artık!""  ",31.10.2013 15:42,gun batimi
liseli ergen kız triplerine girmiş vekil. bayılazağııım nedir yaa?  ,31.10.2013 15:46,murvermeyvesi
"kim ne derse desin, 31.ekim.2013'te yönettigi tbmm oturumuyla benim takdirimi bir kez daha kazanmistir. tbmm baskan yardimcilari icinde bence oturumlari en adaletli sekilde yöneten ve mümkün oldugunca her milletvekiline söz hakki veren meral aksener, bdp'li milletvekillerinin de hakli takdirini kazanmistir.  ",03.11.2013 16:35,question the answers
"türkiye cumhuriyeti hükümetleri’nin birinde kabine üyesi olarak bulunmuş şahsiyettir. hükümet üyesi olarak görev alışına ilişkin bilgiler aşağıdadır:s.n./kabine/görevi/görev başlangıcı/görev bitişi/seçim çevresi/partisi/görev süresi/toplam görev yapma süresi---------------------------------------------------------------------------------------------------------------------------------------------1. 54.hükümet/içişleri bakanı/08 kasım 1996/30 haziran 1997/istanbul/dyp/7 ay 22 gün/7 ay 22 günnot: resmi değil bu verilen süreler, ben saydım ve yazdım. nasıl saydım? bir yılda 12 ay var kuşkusuz ve her ay (istisnasız) 30 çekiyor.  ",10.11.2013 14:16,mamma mia gli turchi
12'nci cumhurbaşkanı. at fav'a bekle..  ,21.11.2013 11:37,kermith
aksam aksam kahkahalar atmami saglamistir. kesinlikle meclisi yonetirken ki halleri izlenmeli. evde cocuklarini susturmaya calisan anne gibi. birazdan terlik firlaticak sanki  ,27.11.2013 18:52,sevitto
"meclisteki oturumları yönetmesiyle komik anlara sahne olan vekil.her yönetimi sırasında meclisin kasfetli havasını değiştiriyor sanki.kendine has bir uslubu var bu kadının. öncesiyle sonrasıyla ilgilenmeden sadece meclisi idare etmesine bakınca meclisin en izlenilesi zamanı meral akşeneeli zaman.uslubu bazen düşüyor, fakat erkek egemen bir ortama başka türlü nasıl söz geçirecek. milletvekili koskoca adamlarda küfürün, hakaretin gırlayken bu kadıncağız ne yapsın.haliyle öyle meclise böyle vekil.  ",27.11.2013 19:06,budemu
"aracının kurşunlanması sonucu ""demirden korkan trene binmez"" diyerek ne kadar asil, cesur ve yiğit bir hanım olduğunu tekrar göstermiştir.  ",09.05.2012 21:11,dunkucocuk
"bir erkek olarak söylüyorum bayan'ın inanmışı erkekten kat be kat inanmıştır.sn.meral akşener yukarıda belirttiğim ifadenin birebir örneğidir.herkesin el pençe divan durduğu askerlerin milli egemenliği hiçe saydığı,demokrasinin,cumhuriyetin yok olduğu günlerde ""valileri  birifing vermek için çağıran dönemin paşacıklarına  paşa paşa posta koyan osmanlı kadınıdır.allah nasip ederse allah razı olsun demek ve elini öpmek isterim.genel başkanından kat be kat cesur kat be kat ülkücüdür.partinin başına geçmesi ve  ramiz ongun sadi somuncuoğlu serdar musa çelebi gibi efsaneleri geri döndürerek hareketi canlandırması nacizane hayalimdir.daha bir ülkücü görüntümüz olur(chp'den farkı kalmadı partinin)  ",11.05.2012 16:47,ihracatci
fena halde the sopranos'un dr. jennifer melfi karakterine benzettim siyasetçi.http://a2.ec-images.myspacecdn.com/…2e7492ee5/l.jpghttp://upload.wikimedia.org/…dia/it/0/02/jmelfi.jpghttp://media.screened.com/…/0/4460/331718-melfi.jpghttp://s2.e-monsite.com/2010/04/01/06/drmelfi.jpg,14.06.2012 12:54,bledathehun
"nasıl ki devlet adamı diye bir tanım varsa, kendisi tam olarak bir devlet kadınıdır. deneyimi olan ve deneyimi ile yaptığı işler takdir edilmiş insandır.  ",11.07.2012 09:51,businessclass
(bkz: #26589894)  ,11.07.2012 12:33,kasaturasiz rambo
mhp genel baskanligina cok yakisir diye dusunuyorum.  ,19.07.2012 15:41,halim selim sabuncu
"bugün beylerbeyi sarayında oğlunu evlendirmiş eski iç işleri bakanı. gördüğüm en güzel düğündü diyebilirim, saray yolundan içeri girene kadar yaklaşık 500m lik bir yol sırayla keman çalan kızlar mükemmel bir şov sergiliyorlardı. nikahı kadir topbaş kıydı, tayyip yine klasik üç çocuk muhabbeti yaptıktan sonra, cemil çicek mikrofonu alıp 3 çocuk yerine 3 karı dedi ve hatasını toparlayamadı, yarın tüm gazeteler bunu yazacak demedi demeyin.. genel olarak çok güzel bir düğündü, şaraplarsa ayrı bir şahaneydi. ama bahçelinin sağ kollarından birinin hem de akşener gibi birinin oğlunun düğününde bu kadar saf dışı kalması, meydanı tayyiplere bırakması herkes tarafından şaşırtıcı bulundu falan. neyse sözün kısası babamla oturup şimdiden para birikitirmeye başlayacağız ben de düğünümü orada yapacağım. çok güzel be.  ",01.09.2012 22:45,hellcats
akp nin bir numaralı rakibidir.  ,04.11.2012 05:05,upersonic
"bir oturumu yönetirken ki hareketleriyle beni kahkahaya boğan kadındır.--- spoiler ---- muhteremler, azcık susun.- gelin bari dövün beni. --- spoiler ---  ",09.03.2013 11:49,mercedes cortez
"türkiyeyi bir ana gibi şefkat ve saf duygularla yöneteceğini düşündüğüm hanımefendi. geçmiş bürokratik deneyimi, güzelliği, hanımefendiliği ve otoriterliğiyle koltuğada yakışacaktır. devlet bahçeli efendi lütfedip koltuğu bırakırsa mhp için en iyi lider adayı olabilir. ama kartlaşmış ülkücüler ""yok arkadaş başkan ülkü ocağından çıkar"" deyip bu kadına fırsat vermezlerse bilsinler ki kendi partileri ve davaları kaybedecektir.  ",16.04.2013 19:25,zaptir
"28 şubat 1997 tarihli mgk'da sıkıntıdan-stresten önündeki kuru pastaların hepsini yemiş ve diğerlerininkine de tasallut etmiş kişi. hatta dayanamayıp o meşhur toplantıda bir paşadan kuru pastalarını istediği söylenir. bir de oğlu vardı bunun; oğlu,oğlunun kız arkadaşı ve meral hanım triosu birlikte sinemaya falan giderlerdi... susurluk'un içişleri bakanı olması sanırım en büyük talihsizliğidir, ya da reva mıdır ? kimbilir...  ",05.02.2006 07:26 ~ 07:27,foko melik
"98 yılında alaattin çakıcı'nın yeri tam olarak belirlenmiş iken, bunu haber alıp çakıcı'ya ""yer değiştirsin"" talimatını ulaştıran eski bakan. (bkz: neler gördü bu millet)  ",14.06.2006 15:34,svrgn
istanbul 3.bolgeden mhp milletvekili secilmi$tir.  ,22.07.2007 23:22,fostik
"çillerin koruması,kurmayı, içişleri bakanı derken mhp ile organik bağını merak etmişimdir. uzun süredir mhp'de ve şu an milletvekili kendisi. hatırlayanlar daha iyi bilir, içişleri bakanı olduğu dönemde öcalan hakkında ""ermeni dölü, zibidi, vs vs.."" diye ""hakaret"" etmiş bir kadındır. haliyle ""ermeni"" diyerek hakaret ettiğini sanan bir ""içi işleri"" bakanına karşı bir çok protestolar,mektuplar olmuş.. akşener daha sonra özür de dilemiş ama bazı duygu ve halleri anmak açısından hatırlatayım dedim.  ",15.08.2007 16:05,ebucan
"abdullah öcalan'a ""ermeni dölü"" şeklinde hakaret etmesi nedeniyle gelen tepkiler üzerine ""ben türkiye'de yaşayan ermenileri değil, genel olarak ermeni ırkını kastettim"" diyerek kendini affettirmiştir....kendisinden bu yanlış anlama nedeniyle çok özür diliyoruz, umarız bizi affeder.  ",04.01.2008 21:41 ~ 05.01.2008 09:21,adornookuyankimkaldibeyildirimbisenbiben
"siyaset sahnesinde bir kadın olarak değil siasetçi olarak görülen ve davranılan, buna rağmen bu zorluğun üstesinden zeka ve cesaretiyle geldiğini ispat eden kadın.http://www.zaman.com.tr/haber.do?haberno=662126",10.03.2008 00:31,trimantis
"tbmm başkanvekili. yönettiği oturumlar izlendiğinde farkedilir ki, siyaset meydanında birçok erkekten daha sert bir üsluba sahiptir. bu kimilerince ""erkek gibi kadın"" olmak açısından takdirle karşılansa da, kadınların kadın kimliği ile siyaset yapmaları taraftarı biri olarak şahsımı rahatsız etmektedir. gerçi 23 dönem başkanvekillerinin bir analizi yapıldığında, koimk bir biçimde karşımıza çıkmaktadır ki, kadın başkanvekilleri erkek başkanvekillerine oranla daha sert, daha katı bir tutum içindedirler. yani, gayet naif görünümlü güldal mumcu dahi oturum yönetirken çatık kaşları ile durmaya kendini zorlar haldedir. oysa erkek başkanvekilleri daha güleryüzlü, daha rahat bir tavır sergilemektedir. ek süre verme konusunda da bu durum aynıdır. kadın başkanvekilleri süre konusunda, çok hassaslarken erkek başkanvekilleri konuya daha rahat yaklaşmaktadır.ama yine de bir kadını o kürsüde görebilmek güzel birşeydir.  ",16.03.2008 18:13,bitter cikolata
"not: lutfen metnin sonundaki ""yillar sonra gelen edit"" kismini da okuyunuz. hakkinda yazilmamis bir kac husus var tabi..28 subat surecinde darbe yapmak isteyen cevik bir tayfasini(ki biliyorsunuz ergenekon davasiyla artik iyice netlesiyor ekipler ve olaylar) ifsaa etmek icin gerekli operasyonlari yaptirmistir meral hanim. oncelikle, deniz kuvvetleri'ndeki bati calisma grubu'nin yasadisi faliyetlerini takip etmek icin, deniz kuvvetleri istihbaratinda gorevli emniyet istihbarat elemani kadir sarmusak'i gorevlendiren bulent orakoglu'nu emniyet istihbaratinin basina getirmis. fakat bu atamaya siddetle karsi cikan alaattin yuksel(donemin emn. gen. mud.) mehmet agar ve cevik bir ciddi baski uygulamis. hatta mehmet agar, tansu ciller ile goruserek, ""emniyet istihbaratin basina orakoglu gelirse turkiye karisir, turistik yerlerde bombalar patlar"" gibi ifadeler kullanmis. alaattin yuksel'in gucunu agar, demirel ve ordu'dan almasi sebebiyle, orakoglu'nu istihbarat daire'nin basina gecirmek icin gece baskiniyla emniyet genel mudurunu degistirmis ve alaattin yuksel yerine kemal celik'i atamistir. hemen ardindan da istihbarat daire'nin basina bulent orakoglu getirilmis ve ordu icerisindeki illegal faliyetlerin takibi baslamis.daha sonra tabi medyaya da yansidigi uzere cevik bir tarafindan olumle tehtit edilmis, atadigi istihbarat daire baskani kanunsuz bir bicimde askerlerce tutuklanmis ve 56gun ""casusluk"" sucundan cezaevinde alikonulmus.simdi bir bakiyorum butune.. kadin, ordu icerisindeki bcg faliyetlerini ve darbe hazirliklarini zaten ongormus. bunu kanitiyla ifsa etmek icin, yine derin devletten guc alan burokratlari bir sekilde adim adim degistirmis. kendi emniyetine soz geciremedigini farketmis oncelikle, orayi bile gucunu derinlerden alanlar yonetiyor, resmin gosterdigi o. o noktada da delidumrul gibi kendini atese atmis ve ""gece baskini"" olarak bilindigi sekilde emn. gen. mud. degisikligi yapmis. acilan yol uzerinden de kalan taktik hareketlere devam etmis. emniyetin tepesini kontrol altina almis, istihbarat daire'yi isler hale getirmis, ordunun darbe yapacagina dair kanitlari elde edilen operasyonun tum adimlarini kusursuzca gerceklestirmis.uzerinden zaman gecince, biraz daha kemale erince, resmin butununu gorebilecek kadar parcalar ortaya cikinca anliyor insan. hakikaten cok analitik cok duzgun bir operasyon yurutmus. strateji->taktik->aksiyon zincirini harika isletmis. olayin insani kismina bakacak olursak tabi, kendi ifadesi ""28 subat'i ve darbe girisimlerini dile getirmenin bedelini odedim ve hala oduyorum"". olaya salt analist gozuyle degil de, bir de birey olarak bakinca, cocugu olan bir annenin bu allah bilir ne tehtitler altinda olabilecegini dusununce, insan bir kat daha hayran kaliyor.ama merak ediyorum, o doneme dair pisman oldugu hususlar var mi, ""keske yapmasaydim"" ya da ""yapmadigima pismanim"" dedigi seyler var mi? cunku eminim ki o da son senelerde resmin butununu ancak netlestirebilmistir. o donemki bilgi kirliliginden dolayi, simdi daha duru gorebildigi icin farkli kararlar vermesi gerektigini dusunuyor olabilir. hic bir dayanagim olmadan tamamen onsezilerime guvenerek de sunu soyleyebilirim kendisi hakkinda: aslinda belki de cevresel parametreler bu kadar guvensiz olmasaydi, icislerinde oldugu donemde turkiye bu kadar de-stabil olmasaydi, orgutler bu kadar guclu olmasaydi, ""ergenekon"" denilen yapiyi ilk o ifsaa edip cokertecekti. kader.yillar sonra gelen edit: 7 haziran secimlerinden hemen once verdigi bir demec var, ""iktidar olursak ihrac edilen polisleri goreve iade edecegiz"" diye. hah iste, o aciklama ile bitti benim icin. yukarida o kadar ovguyle bahsedebildigim bir figur bir anda yer ile yeksan oldu. sen devletci olacaksin ama tutup devlet gucunu ele geciren ve kendi nihai amaclari icin kullanan gizli calisan ve yargi/kolluk/istihbarat ucgeniyle devletin yoneticilerini degistirerek yeni nesil bir darbe yapmaya kalkan bir grubun** destekcisi olacaksin, tasfiyesine karsi cikacaksin, sonra da halktan devleti yonetmek icin oy isteyeceksin. abzurt celiski. elde var sifir.yillar sonra gelen ıı. edit: ahmet hakan'in programinda ismail saymaz'in sorusuna ""allah var gam yok"" diyerek kripto mesajini da vermis, fetö'ye selam cakmis. kendi kendini ne hale getirdi..  ",05.03.2009 12:21 ~ 24.12.2015 00:23,hybridus
"içişleri bakanıyken alaattin yüksel'i emniyet müdürlüğü görevinden almak istemiş ama alaattin yüksel (neyine güvenerek bilmiyorum) görevi bırakmamakta ve makamı boşaltmamakta direnmişti. meral akşener yeni emniyet müdürüyle gece yarısı emniyete gidip genel müdürlüğün kapısını kırmış, yeni genel müdürü makama oturttuktan sonra kilitleri değiştirtip sabaha kadar orada beklemişti. böyle acayip zamanlar yaşadı bu memleket.  ",05.03.2009 12:36,relic
"erdoğanaın meclis grup toplantısında erdal eren için ağlamasını samamiyestsiz bulan (kaldıki ben de öyle düşünüyorum), bunun akabinde "" o bir jandarma erini öldürmüş katildir"" savını hala savunan zat. mahkeme heyetinin mevcut delillerle, erdal eren in jandarma er zekeriya önge yi öldürdüğü ispatlanamadığı halde verdiği idam cezasının yargıtayda bozulmasına karşın asgeri yargıtay kararıyla idam edilen erdal eren i hala katil gibi lanse etmesi ne acıdır. taraf olduğu miliyetçi şuurla ortaya atığı fikirleri, halkın vicdanında binlerce kez aklanan yiğit bir genç için futursuzca direten zavallı bünyedir nazarımda.  ",09.08.2010 17:03,kulturortamindaureme
"meclis başkan vekilliği yaptığı oturumları izlemek eğlenceli oluyor ama bi de koca koca vekilleri azarlamasa.. hani meclisin bi adabı, ağırlığı, seviyesi falan vardır.. vardır di mi?  ",27.11.2013 20:24,non unum
"şu an twitter da sizin bizim gibi menşınlaşan muazzam bir kadın imajı çiziyor . inşallah insanlık yoksunu troller tarafından kötüye kullanılmaz. gençlerin cumhurbaşkanı adayı olabilir bu doğal tavrıyla. ne var ki filan demeyin 5bin takipçi yapanların kendini allah sandığı , 20 yaşında gence 2 tivitten dava açılan ortamda çayını doldurup muhabbet eden bir meclis başkanı modeli yaşanabilir bir türkiye için çok lazım  ",11.12.2013 03:32,ucurmalarbiziyildiramaz
"ölene kadar meclis oturumlarını yönetmesini dilediğim eğlenceli lakin atarlı vekil.19.12.2013 tarihli meclis bütçe görüşmeleri sırasında, söz hakkı verdiği bir millet vekili konuşmasını uzatınca verdiği ""muhtereem! muhtereeeem! bitti bitti"" tepkisi beni gülme krizlerine sokmuştur.seviyor sayıyoruz efendim kendisini. şu mide bulandıran günlerde dahi gülümsetiyor.  ",20.12.2013 08:25,armonik melek
"bu kadının siyasette olması hoşuma gidiyor, sokak ağzıyla mecliste konuşan tatlı bir bayan.  ",26.12.2013 10:07,bestbundle
(bkz: muhterem !!) diyerek başladığı cümlerlerle alttan alttan neler diyor kim bilir.  ,09.01.2014 19:21 ~ 19:22,gokten dusen yer elmasi
bayıldığım insan özü sözü bir kadın keşkem kendisi mhp ye genel başkan olsa çok yakışır. hürmetler sayın başkanım ailecek sizi çok seviyoruz.  ,10.01.2014 16:31,colde kutup ayisi goren bahtsiz bedevi
tayyip erdogan'a bostan korkulugu olup olmadigini sormus kisidir  ,12.01.2014 19:11,oxsi
angela merkel türk olsaydı nasıl olurdunun cevabıdır.  ,13.01.2014 17:25,yardan adam
"kadınların ne kadar kaliteli ve dobra siyaset yaptığının kanıtlarından biri kendisi. emine ülker tarhan, şafak payev, ruhsar demirel, zuhal topçu hepsi çok temiz ve kaliteli siyaset yapıyorlar, önümüzdeki seçimlerde inşallah sayıları artar.  ",16.02.2014 23:36,pepepepecokuzuluyor
devlet gibi kadın tanımlamasının vücut bulmuş hali hanımefendi. (işbu entry'de vücut kütlesi ile ilgili bir referans bulunmamaktadır)  ,09.03.2014 18:44,sudanli zenci musa
benim için ilkokul zamanımda seçim için dağıtılan eşantiyon klasörlerin üzerinde yüz.  ,25.04.2013 10:16,obsessiveturtle
ne zaman ismini görsem yaşasın kötülük deyişi aklıma geliyor. esprili bir milletvekili.  ,15.05.2013 01:41,aziz baykus
"gercekten de zamaninda ""ermeni dölü"" gibi duyulduguna inanilmasi zor ama bir o kadar asagilayici ve irkci bir lafi etmis insandir. guzide oldugu gercegi ise, ozellikle boyle bir uslup neticesinde elbette tartisilmazdir.  ",04.06.2013 16:15 ~ 16:19,anotherstar
meclisteki kargaşadan dolayı vallahi billahi tallahi imdat diye bağırmak isteyen insan.ilkokul 1. sınıf öğretmenime benziyor ayrıca.http://www.ntvmsnbc.com/id/25451279,26.06.2013 02:37 ~ 02:43,bunu bulamayanlar da var
http://www.youtube.com/watch?v=snvgpvyo8to,27.06.2013 01:50,cherry cherry boom boom
mhp tarafından yeniden meclis başkan vekilliği için önerilmiş milletvekili.anlaşılan devlet bahçeli ile arasındaki kırgınlık sona ermiş zira dün görüşmek için randevu bile alamadığı konuşulurken bugün yeniden aday gösterilmekte.  ,30.06.2013 01:54,yok mu beni seven
